open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
2020-12-27 00:00:00+00:00,637.57,717.52,625.61,684.51,11413.09875,2020-12-27 23:59:59.999000+00:00,7711917.1738675,11253,4625.62451,3148447.0664741,0
2020-12-28 00:00:00+00:00,685.6,748.02,682.0,729.94,7546.78864,2020-12-28 23:59:59.999000+00:00,5472756.5413223,8585,3549.30316,2573834.669787,0
2020-12-29 00:00:00+00:00,729.86,740.55,689.1,732.0,5689.50091,2020-12-29 23:59:59.999000+00:00,4081244.4474226,5404,2550.19431,1830435.2181501,0
2020-12-30 00:00:00+00:00,732.21,758.92,717.69,751.73,4005.16756,2020-12-30 23:59:59.999000+00:00,2957764.3589489,3858,1769.30784,1306213.385342,0
2020-12-31 00:00:00+00:00,752.43,755.54,721.86,736.24,4876.06264,2020-12-31 23:59:59.999000+00:00,3599043.6712633,4638,2299.19051,1697331.6580179,0
2021-01-01 00:00:00+00:00,737.61,749.11,715.62,728.52,3084.3785,2021-01-01 23:59:59.999000+00:00,2265233.9993646,3137,1401.65205,1031226.067237,0
2021-01-02 00:00:00+00:00,729.46,787.22,715.34,774.56,8325.47357,2021-01-02 23:59:59.999000+00:00,6352869.2323254,8411,2909.85016,2210380.507431,0
2021-01-03 00:00:00+00:00,774.6,1010.82,768.74,978.14,19330.21676,2021-01-03 23:59:59.999000+00:00,17431150.7962904,20848,8731.35287,7961465.2616302,0
2021-01-04 00:00:00+00:00,978.03,1160.8,881.58,1042.1,26998.69336,2021-01-04 23:59:59.999000+00:00,27384007.0100319,31156,12939.48898,13170131.6400546,0
2021-01-05 00:00:00+00:00,1043.81,1133.8,970.0,1100.22,18624.18143,2021-01-05 23:59:59.999000+00:00,19741716.2058775,24101,8212.26242,8701833.2974604,0
2021-01-06 00:00:00+00:00,1100.0,1212.65,1057.98,1208.58,17559.80908,2021-01-06 23:59:59.999000+00:00,19969987.4630209,20122,7459.13612,8520819.4787951,0
2021-01-07 00:00:00+00:00,1209.53,1289.11,1150.0,1224.2,12133.83692,2021-01-07 23:59:59.999000+00:00,14796411.1607172,14112,4485.38207,5464011.000875,0
